Name,Agent1,Agent2,Total Rounds,Weighted KPR,Weighted KAST,Weighted FKPR,Weighted FDPR,Odds Difference,Average Opposing KPR,Average Opposing KAST,Average Opposing FKPR,Average Opposing FDPR,Recent Kill Average,Actual Kills
logan,16,6,98,0.6038775510204082,72.60204081632654,0.03193877551020408,0.09387755102040818,0.19133333333333358,0.663262987012987,68.92045454545455,0.08112012987012988,0.09475649350649351,25.0,20
takas,24,12,77,0.4902597402597403,53.506493506493506,0.13000000000000003,0.20532467532467533,0.19133333333333358,0.6604025974025974,67.22337662337662,0.09223376623376625,0.10659740259740261,22.666666666666668,37
paura,13,2,194,0.6271134020618556,66.79896907216495,0.09170103092783505,0.10056701030927837,0.19133333333333358,0.6604025974025974,67.22337662337662,0.09223376623376625,0.10659740259740261,28.0,35
elite,6,23,170,0.8367058823529412,75.0,0.05847058823529413,0.07152941176470588,0.19133333333333358,0.6604025974025974,67.22337662337662,0.09223376623376625,0.10659740259740261,36.666666666666664,41
qutionerx,18,12,170,0.827294117647059,72.20588235294117,0.22141176470588236,0.1882941176470588,0.19133333333333358,0.6604025974025974,67.22337662337662,0.09223376623376625,0.10659740259740261,33.0,27
reazy,22,9,149,0.4791275167785235,65.84563758389261,0.04087248322147651,0.050872483221476514,0.19133333333333358,0.6604025974025974,67.22337662337662,0.09223376623376625,0.10659740259740261,21.0,19
brave,16,3,211,0.6990047393364928,72.54976303317535,0.09549763033175357,0.06819905213270143,0.19133333333333358,0.6604025974025974,67.22337662337662,0.09223376623376625,0.10659740259740261,26.333333333333332,22
cned,12,4,170,0.868,77.44705882352942,0.17552941176470585,0.11776470588235294,0.2950819672131144,0.8587962962962963,77.57407407407408,0.15175925925925923,0.1113888888888889,33.333333333333336,34
mrfalin,22,16,132,0.7591666666666668,72.37121212121212,0.10628787878787879,0.10287878787878789,0.2950819672131144,0.7747453703703704,75.69212962962963,0.1290046296296296,0.0989351851851852,30.0,30
yetujey,6,23,153,0.7305228758169935,68.83660130718954,0.10405228758169935,0.12026143790849672,0.2950819672131144,0.75375,73.83024691358025,0.12427469135802467,0.10229938271604938,31.333333333333332,29
atakaptan,23,16,216,0.6177777777777778,70.03703703703704,0.09481481481481481,0.11518518518518518,0.2950819672131144,0.7197569444444445,72.88194444444446,0.1169097222222222,0.10552083333333333,25.666666666666668,28
